,id,title,diseno,ncValue,value1,value2,value3,value4,value5,value6,value7,value8,value9,value10,value11,value12,value13,value14,value15,value16
3784,107107.0,El Monte Tennis Court,Completado,,"Coto Laurel, Ponce, Puerto Rico, 00780",18.040405,-66.562816,El Monte Tennis Court,PA-02-PR-4339-PW-03313,9218,8296,8296,922,Ponce,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Pequeño,10/02/2020,Proyecto 406
3786,107107.0,Jardines del Caribe III Tennis Court,Completado,,,18.01484,-66.65356,MPON449 - Jardines del Caribe III - Baseball Park & Tennis Courts,PA-02-PR-4339-PW-03593,97087,87378,87378,9709,Ponce,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Pequeño,20/02/2020,Proyecto 406
3788,107107.0,Campo Alegre Baseball Park,Completado,,"Urb. Campo Alegre, Ponce, Puerto Rico, 00716",18.01527,-66.59274,MPON729 - Campo Alegre Baseball Park,PA-02-PR-4339-PW-03614,12449,11204,11204,1245,Ponce,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Pequeño,20/02/2020,Proyecto 406
3790,107107.0,MLOI053-Las Cuevas Boulevard,Completado,,"Colobo, Loiza, Puerto Rico, 00772",18.428126,-65.880341,MLOI077 Las Cuevas Boulevard & Cueva Maria de la Cruz,PA-02-PR-4339-PW-08787,387881,349093,0,38788,Loíza,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Grande,18/08/2021,Proyecto 428
3792,107107.0,Guaraguao Basketball Court,Adquisición de construcción,,"PR-519, Ponce, Puerto Rico, 00731",18.122929,-66.670624,"MPON499- Guaraguao Recreational Area (Communal Center, Basketball)",PA-02-PR-4339-PW-03644,52907,47616,47616,5291,Ponce,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Pequeño,02/04/2020,Proyecto 406
3794,107107.0,Wito Morales Park,Completado,,"Bo. Cerrillos, Ponce, Puerto Rico, 00730",18.07231,-66.57715,MPON469- Wito Morales Recreational Park,PA-02-PR-4339-PW-03673,35538,31984,31984,3554,Ponce,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Pequeño,24/02/2020,Proyecto 406
3796,107107.0,Cancha Bajo Techo Ramon Saavedra Sector La Nueva,Adquisición de construcción,,,18.439949,-66.919205,MQU052 Cancha Bajo Techo Ramon Saavedra Sector La Nueva,PA-02-PR-4339-PW-06522,23437,21093,21093,2344,Quebradillas,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Pequeño,18/11/2020,Proyecto 406
3798,107107.0,Llanos del Sur Communal Center,Construcción,N/A,"Urb. Llanos del Sur, Ponce, Puerto Rico, 00731",18.045465,-66.54884,"MPON604 - Llanos del Sur Recreational (Basketball, Baseball, Communal Center and Police Station)",PA-02-PR-4339-PW-03814,40101,36091,36091,4010,Ponce,Huracán María (4339),Municipios,Categoría E - Edificios y equipo,Pequeño,05/03/2020,Proyecto 406
3800,107107.0,Collado Road,Completado,,"PR 139 KM 11.3, Ponce, Puerto Rico, 00731",18.10049,-66.58491,MPON678 - Collado Road,PA-02-PR-4339-PW-03905,60013,54012,54012,6001,Ponce,Huracán María (4339),Municipios,Categoría C - Carreteras y puentes,Pequeño,11/03/2020,Proyecto 406
3802,107107.0,Coliseo Raymond Dalmau,Adquisición de construcción,,,18.462229,-66.929375,MQUE003 Coliseo Raymond Dalmau,PA-02-PR-4339-PW-10771,3948532,3553679,0,394853,Quebradillas,Huracán María (4339),Municipios,Categoría E - Edificios y equipo,Grande,14/10/2022,Proyecto 428
3804,107107.0,Las Monjitas Ward Basketball Court,Construcción,95,"Urb. Las Monjitas, Ponce, Puerto Rico, 00731",18.03859,-66.58788,MPON762 - Las Monjitas Basektball Court and Community Center,PA-02-PR-4339-PW-03996,300249,270224,0,30025,Ponce,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Grande,30/06/2022,Proyecto 428
3806,107107.0,El Pecho Road,Completado,,"PR-501, Km 6.3, Ponce, Puerto Rico, 00731",18.075514,-66.672417,MPON698 - El Pecho Road,PA-02-PR-4339-PW-04007,3496,3146,3146,350,Ponce,Huracán María (4339),Municipios,Categoría C - Carreteras y puentes,Pequeño,11/03/2020,Proyecto 406
3808,107107.0,Tierras Buenas Road,Completado,,"PR-123 KM 19.1, Ponce, Puerto Rico, 00731",18.09309,-66.657356,MPON632 - Tierras Buenas Road,PA-02-PR-4339-PW-04108,262310,236079,0,26231,Ponce,Huracán María (4339),Municipios,Categoría C - Carreteras y puentes,Grande,30/06/2020,Proyecto 406
3810,107107.0,RING007 - La Amistad Plaza,Completado,,"Bo. Pueblo, Calle Nueva Final, Rincon, Puerto Rico, 00676",18.33812,-67.25124,MRIN005 - La Amistad Plaza ,PA-02-PR-4339-PW-01733,83677,75309,75309,8368,Rincón,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Pequeño,29/01/2020,Proyecto 406
3812,107107.0,GIMNASIO EL QUEMADO,Construcción,N/A,"CARR 108 INT AVE PEDRO ALBIZU CAMPOS, CALLE MARTINEZ NADAL, mayaguez, Puerto Rico, 00680",18.205954,-67.137687,MMAY049 - Gym Facilities,PA-02-PR-4339-PW-06490,36813,33132,33132,3681,Mayagüez,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Pequeño,08/09/2020,Proyecto 428
3814,107107.0,CALLE K PARCELAS SOLEDAD SABANETA,Construcción,N/A,"Mayaguez, Puerto Rico, 00680",18.243472,-67.134223,MMAY029 - Paseo Soledad Roads,PA-02-PR-4339-PW-06831,13933,12540,12540,1393,Mayagüez,Huracán María (4339),Municipios,Categoría C - Carreteras y puentes,Pequeño,08/10/2020,Proyecto 428
3816,107107.0,PARQUE PASIVO TRASTALLERES,Construcción,N/A,,,,MMAY060 - Passive Parks # 3,PA-02-PR-4339-PW-06899,37977,34179,34179,3798,Mayagüez,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Pequeño,13/11/2020,Proyecto 428
3818,107107.0,PARQUE PASIVO URB. ALTURAS CALLE MONTE DEL E,Construcción,N/A,,,,MMAY060 - Passive Parks # 3,PA-02-PR-4339-PW-06899,37977,34179,34179,3798,Mayagüez,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Pequeño,13/11/2020,Proyecto 428
3820,107107.0,Camino Cuba Carretera 108 Km. 3.3 Int.,Construcción,N/A,"From la Urb. Sultana up to la Zona Libre Carr. 114., Mayaguez, Puerto Rico, 00680",18.236321,-67.153724,MMAY015 - Cuba Roads,PA-02-PR-4339-PW-07178,18740,16866,16866,1874,Mayagüez,Huracán María (4339),Municipios,Categoría C - Carreteras y puentes,Pequeño,02/12/2020,Proyecto 428
3822,107107.0,Bo. Calvache PR-115 Km. 7.6 Int. (La Gorda),Diseño,90,"PR-115 Km. 7.6 Int., Bo. Calvache, Rincon, Puerto Rico",18.30564,-67.22135,MRIN020 - PR-115 Km. 7.6 & 14.3 Int (Bo. Calvache - La Gorda and Villa Joyanca),PA-02-PR-4339-PW-04093,416839,375155,93789,41684,Rincón,Huracán María (4339),Municipios,Categoría C - Carreteras y puentes,Grande,05/11/2021,Proyecto 406
3824,107107.0,Edificio Manejo de Emergencias - MARE006,Completado,,"Camino Esmeraldo Justiniano, Maricao, Puerto Rico",18.1831,-66.9815,MMAR006-Edificio de Manejo de Emergencias,PA-02-PR-4339-PW-02404,16548,14893,14893,1655,Maricao,Huracán María (4339),Municipios,Categoría E - Edificios y equipo,Pequeño,13/12/2019,Proyecto 406
3826,107107.0,Parque pasivo San vicente,Adquisición de construcción,,"San Vicente, Bo. Mata de Platano, LUQUILLO, Puerto Rico, 00773",18.353669,-65.73945,MLUQ045 FAcilidades Recreativas San Vicente,PA-02-PR-4339-PW-06734,51959,46763,46763,5196,Luquillo,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Pequeño,02/06/2021,Proyecto 406
3828,107107.0,Portugues Road,Construcción,N/A,"PR-123 KM 25.1, Ponce, Puerto Rico, 00731",18.127117,-66.670939,MPON631 - Portugues Road (PR-123 KM 25.1 Camino Portugues),PA-02-PR-4339-PW-04204,68591,61732,61732,6859,Ponce,Huracán María (4339),Municipios,Categoría C - Carreteras y puentes,Pequeño,27/03/2020,Proyecto 406
3830,107107.0,La Cuchilla (Teissoniere) Road,Completado,,"PR-505 Km 5.4, Ponce, Puerto Rico, 00731",18.07455,-66.611841,MPON618 - Teissonierre Road,PA-02-PR-4339-PW-04250,61648,55483,55483,6165,Ponce,Huracán María (4339),Municipios,Categoría C - Carreteras y puentes,Pequeño,27/03/2020,Proyecto 406
3832,107107.0,Magueyes Basketball roofed Court,Construcción,N/A,"Comunidad Magueyes, Ponce, Puerto Rico, 00728",18.042962,-66.646704,MPON735 - Magueyes Ward Facilities,PA-02-PR-4339-PW-04273,119754,107779,107779,11975,Ponce,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Pequeño,27/03/2020,Proyecto 406
3834,107107.0,Camino Las Guabas by Rd 425 Km 1 Section 2,Diseño,60,,18.17288,-66.96213,MMAR019 - Sector Las Guabas 425 km 1 Section 1 and 2,PA-02-PR-4339-PW-02543,402077,361869,14891,40208,Maricao,Huracán María (4339),Municipios,Categoría C - Carreteras y puentes,Grande,23/02/2023,Proyecto 406
3836,107107.0,Cruces Baseball Park,Adquisición de construcción,,"Bo. Pueblo, Calle Cambija, Rincon, Puerto Rico, 00677",18.344166,-67.221944,MRIN028 - Rafael Rivera Romero & Cruces Baseball Park,PA-02-PR-4339-PW-06524,140106,126095,0,14011,Rincón,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Grande,16/11/2020,Proyecto 406
3838,107107.0,Skate Park,Adquisición de diseño,,"Bo. Pueblo, Stella Community, Calle 10, Rincon, Puerto Rico, 00677",18.33844,-67.25098,MRIN025 - Skate Park & BMX Facilities (428),PA-02-PR-4339-PW-09025,936012,842411,0,93601,Rincón,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Grande,20/07/2021,Proyecto 428
3840,107107.0,Calle Palomino,Adquisición de diseño,,"Playa Azul Sector Solimar,, LUQUILLO, Puerto Rico, 00773",18.38014,-65.71644,MLUQ022 Sector Solimar Street Repair,PA-02-PR-4339-PW-07150,482420,434178,0,48242,Luquillo,Huracán María (4339),Municipios,Categoría C - Carreteras y puentes,Grande,16/12/2020,Proyecto 406
3842,107107.0,Calle Ocean Drive BLVD.,Adquisición de diseño,,"Playa Azul Sector Playa Azul,, LUQUILLO, Puerto Rico, 00773",18.38014,-65.71644,MLUQ022 Sector Solimar Street Repair,PA-02-PR-4339-PW-07150,482420,434178,0,48242,Luquillo,Huracán María (4339),Municipios,Categoría C - Carreteras y puentes,Grande,16/12/2020,Proyecto 406
3844,107107.0,BMX Facilities,Adquisición de diseño,,"Bo. Pueblo, Stella Community, Calle 10, Rincon, Puerto Rico, 00677",18.33667,-67.25041,MRIN025 - Skate Park & BMX Facilities (428),PA-02-PR-4339-PW-09025,936012,842411,0,93601,Rincón,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Grande,20/07/2021,Proyecto 428
3846,107107.0,Camino Las Guabas by Rd 425 Km 1 Section 25,Diseño,40,"Camino Esmeraldo Justiniano, Maricao, Puerto Rico",18.17949,-66.95679,A&E - MMAR086 - Camino Las Guabas Rd 425 km 1 Walter Montalvo,PA-02-PR-4339-PW-02969,244957,220461,40786,24496,Maricao,Huracán María (4339),Municipios,Categoría C - Carreteras y puentes,Grande,17/01/2020,Proyecto 406
3848,107107.0,Delicias I Baseball Park,Adquisición de construcción,,"Urb. Delicias I, Ponce, Puerto Rico, 00731",18.03464,-66.64583,"MPON596- Las Delicias I Recreational (Communal Center, Basketball, Baseball, Recreational Area)",PA-02-PR-4339-PW-04338,710782,639704,0,71078,Ponce,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Grande,01/09/2022,Proyecto 406
3850,107107.0,Delicias I Basketball Court,Adquisición de construcción,,"Urb. Delicias I, Ponce, Puerto Rico, 00731",18.03527,-66.64623,"MPON596- Las Delicias I Recreational (Communal Center, Basketball, Baseball, Recreational Area)",PA-02-PR-4339-PW-04338,710782,639704,0,71078,Ponce,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Grande,01/09/2022,Proyecto 406
3852,107107.0,Cruz Espada Seniors Center,Adquisición de construcción,,"PR-14, Ponce, Puerto Rico, 00730",18.02189,-66.603918,MPON795 - Cruz Espada Seniors Center,PA-02-PR-4339-PW-04345,101921,91729,91729,10192,Ponce,Huracán María (4339),Municipios,Categoría E - Edificios y equipo,Pequeño,03/04/2020,Proyecto 406
3854,107107.0,Pastillo Canas Baseball Park,Adquisición de construcción,,"PR-502, Ponce, Puerto Rico, 00731",18.03564,-66.66232,"MPON739 - Pastillo Canas (Baseball Park, Basketball Court & Community Center)",PA-02-PR-4339-PW-04373,104262,93836,93836,10426,Ponce,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Pequeño,30/03/2020,Proyecto 406
3856,107107.0,CENTRO COMUNAL MALEZAS,Construcción,N/A,,18.202783,-67.153134,MMAY071 - Municipal Facilities # 4,PA-02-PR-4339-PW-07756,34068,30661,30661,3407,Mayagüez,Huracán María (4339),Municipios,Categoría E - Edificios y equipo,Pequeño,17/12/2020,Proyecto 428
3858,107107.0,CANCHA VILLAS DE FELIZA,Construcción,N/A,,,,MMAY044 - Courts Facilities # 8,PA-02-PR-4339-PW-07757,79596,71636,71636,7960,Mayagüez,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Pequeño,13/01/2021,Proyecto 428
3860,107107.0,CANCHA ISMAEL BENABE URB. BRISAS DEL MAR STRUCTURE,Adquisición de construcción,,"Bo. Mata de Platano, LUQUILLO, Puerto Rico, 00773",,,Cancha Ismael Benabe - Basketball Facility PR 992 - Esquina Calle E-2 (Luquillo),PA-02-PR-4339-PW-08180,1323038,1190734,297683,132304,Luquillo,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Grande,27/04/2021,Proyecto 428
3862,107107.0,COMPLEJO DEPORTIVO CAPITAL DEL SOL STRUCTURE (CENTRO COMUNAL),Adquisición de construcción,,"Barrio Mata de Platano, Urb. Brisas del Mar Calle 2, LUQUILLO, Puerto Rico, 00773",,,MLUQ013 Community Centers- Recreational Facilities 1,PA-02-PR-4339-PW-08547,119603,107643,107643,11960,Luquillo,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Pequeño,04/05/2021,Proyecto 428
3864,107107.0,Las Jaguas Communal Center,Completado,,"PR-501, Ponce, Puerto Rico, 00731",18.07988,-66.66711,MPON515 - Las Jaguas Community Center,PA-02-PR-4339-PW-04409,17137,15423,15423,1714,Ponce,Huracán María (4339),Municipios,Categoría E - Edificios y equipo,Pequeño,03/04/2020,Proyecto 406
3866,107107.0,OFFICE FEDERAL AFFAIRS,Adquisición de construcción,,"Casco Urbano, LUQUILLO, Puerto Rico, 00773",,,MLUQ012 Government Buildings,PA-02-PR-4339-PW-08646,61909,55718,55718,6191,Luquillo,Huracán María (4339),Municipios,Categoría E - Edificios y equipo,Pequeño,02/06/2021,Proyecto 428
3868,107107.0,CRIM OFFICE STRUCTURAL DAMAGE,Adquisición de construcción,,"Bo. Fortuna, LUQUILLO, Puerto Rico, 00773",,,MLUQ012 Government Buildings,PA-02-PR-4339-PW-08646,61909,55718,55718,6191,Luquillo,Huracán María (4339),Municipios,Categoría E - Edificios y equipo,Pequeño,02/06/2021,Proyecto 428
3870,107107.0,AREA RECREATIVA PLAYA LOS TUBOS (EDIFICIO),Adquisición de construcción,,,,,P97960-DR4339PR-MANATI-AREA RECREATIVA PLAYA LOS TUBOS (EDIFICIO),PA-02-PR-4339-PW-06981,692611,623350,155837,69261,Manatí,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Grande,19/03/2021,Proyecto 428
3872,107107.0,Rafaela Prieto Library,Completado,,"Ave. Hostos # 862, Ponce, Puerto Rico, 00716",17.99431,-66.61476,MPON800 - Avenida Hostos Seniors Center Daily I & Rafaela Prieto Library,PA-02-PR-4339-PW-04441,61823,55641,55641,6182,Ponce,Huracán María (4339),Municipios,Categoría E - Edificios y equipo,Pequeño,03/04/2020,Proyecto 406
3874,107107.0,La Gloria Road,Completado,,"PR-139, Ponce, Puerto Rico, 00731",18.14865,-66.62474,MPON654 - La Gloria Road & Tres Palos Road,PA-02-PR-4339-PW-04444,26650,23985,23985,2665,Ponce,Huracán María (4339),Municipios,Categoría C - Carreteras y puentes,Pequeño,10/04/2020,Proyecto 406
3876,107107.0,Canas Communal Center,Adquisición de construcción,,"Bo. Canas Urbano, Ponce, Puerto Rico, 00728",18.006751,-66.641762,MPON748 - Canas Community Center and Recreational Area,PA-02-PR-4339-PW-04455,53419,48077,48077,5342,Ponce,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Pequeño,07/04/2020,Proyecto 406
3878,107107.0,Valle Real Recreational Area (Running Track and Playground),Adquisición de construcción,,"Urb. Valle Real, Ponce, Puerto Rico, 00716",17.99333,-66.62435,"MPON500- Valle Real (Communal Center, Basketball, Recreational Area and Facilities)",PA-02-PR-4339-PW-04460,51193,46074,46074,5119,Ponce,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Pequeño,03/04/2020,Proyecto 406
3880,107107.0,Los Rios Road,Completado,,"PR 139 K 9.1, Ponce, Puerto Rico, 00731",18.090443,-66.59098,MPON638 - Los Rios Road,PA-02-PR-4339-PW-04501,62213,55992,55992,6221,Ponce,Huracán María (4339),Municipios,Categoría C - Carreteras y puentes,Pequeño,10/04/2020,Proyecto 406
3882,107107.0,Villas de Río Canas Communal Center,Completado,,"Bo. Canas Urbano, Ponce, Puerto Rico, 00728",18.003884,-66.639079,"MPON491- Villas de Río Canas Recreational Area (Communal Center, Basketball, Playground)",PA-02-PR-4339-PW-04520,30489,27440,27440,3049,Ponce,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Pequeño,03/04/2020,Proyecto 406
3884,107107.0,Pou Road,Completado,,"PR-505 KM 16, Ponce, Puerto Rico, 00731",18.12708,-66.64549,MPON693 - Pou Road,PA-02-PR-4339-PW-04643,33004,29704,29704,3300,Ponce,Huracán María (4339),Municipios,Categoría C - Carreteras y puentes,Pequeño,09/04/2020,Proyecto 406
3886,107107.0,Coto Laurel Basketball Roofed Court,Adquisición de construcción,,"Calle Llorens Torres, Ponce, Puerto Rico, 00780",18.048247,-66.54778,"MPON450- Coto Laurel Baseball Park, Basketball Court, Cemetery and Library",PA-02-PR-4339-PW-04808,88937,80043,80043,8894,Ponce,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Pequeño,13/04/2020,Proyecto 406
3888,107107.0,Coto Laurel Baseball Park,Adquisición de construcción,,"PR-14, Ponce, Puerto Rico, 00780",18.04921,-66.5479,"MPON450- Coto Laurel Baseball Park, Basketball Court, Cemetery and Library",PA-02-PR-4339-PW-04808,88937,80043,80043,8894,Ponce,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Pequeño,13/04/2020,Proyecto 406
3890,107107.0,Bella Vista Communal Center,Adquisición de construcción,,"Urb. Bella Vista, Ponce, Puerto Rico, 00731",18.02334,-66.59741,"MPON754 - Bella Vista & Flamboyanes Recreational Area (Community Center, Basketball Courts)",PA-02-PR-4339-PW-04939,67308,60577,60577,6731,Ponce,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Pequeño,27/04/2020,Proyecto 406
3892,107107.0,Sabanetas (Las Casitas) Baseball Park,Adquisición de construcción,,"Sector Sabanetas, Ponce, Puerto Rico, 00716",18.02148,-66.57784,"MPON591- Sombras del Real Recreational Area, Sabanetas Baseball Park & Laurel del Sur Basketball Court",PA-02-PR-4339-PW-05087,75028,67525,67525,7503,Ponce,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Pequeño,29/04/2020,Proyecto 406
3894,107107.0,Laurel del Sur Roofed Basketball Court,Adquisición de construcción,,"Urb. Laurel del Sur, Ponce, Puerto Rico, 00715",18.01165,-66.614418,"MPON591- Sombras del Real Recreational Area, Sabanetas Baseball Park & Laurel del Sur Basketball Court",PA-02-PR-4339-PW-05087,75028,67525,67525,7503,Ponce,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Pequeño,29/04/2020,Proyecto 406
